addr_state,loans,bad_loan_rate_pct
AL,1022,39.92
LA,977,39.0
OK,795,38.24
ND,121,38.02
SD,170,37.65
MS,487,37.58
AK,187,36.9
AR,618,36.57
MO,1321,36.41
FL,6005,35.94
NY,7212,35.83
OH,2754,34.57
KY,819,34.55
PA,2865,34.52
NC,2326,34.44
CA,11702,34.34
NV,1232,34.33
TN,1383,34.27
VA,2394,34.25
NJ,3051,34.25
MD,1989,34.24
AZ,2026,34.06
MN,1518,33.93
IN,1352,33.8
HI,385,33.77
WI,1067,33.74
NE,291,33.33
NM,450,33.33
TX,6874,33.04
WY,159,32.7
DE,263,32.32
MA,1892,31.92
UT,550,31.82
MI,2144,31.44
GA,2735,29.73
IL,3276,29.37
KS,631,28.37
SC,954,28.2
CO,1707,28.12
WA,1590,27.61
RI,366,27.6
OR,906,27.37
CT,1235,26.8
WV,284,26.06
DC,166,25.9
MT,244,25.41
NH,394,22.84
VT,165,22.42
ID,152,22.37
ME,167,21.56
