loan_amnt,annual_inc,int_rate,dti,grade,purpose
40000,80000.0,11.99,38.09,B,credit_card
40000,210000.0,9.58,16.75,B,home_improvement
40000,68521.0,9.44,3.05,B,debt_consolidation
40000,95000.0,19.03,6.92,D,home_improvement
40000,92000.0,19.03,19.25,D,debt_consolidation
40000,215000.0,21.45,19.72,D,debt_consolidation
40000,155000.0,7.97,12.94,A,small_business
40000,80000.0,21.45,18.14,D,debt_consolidation
40000,212000.0,10.42,17.85,B,debt_consolidation
40000,60000.0,11.98,7.42,B,debt_consolidation
40000,80000.0,30.79,13.73,G,debt_consolidation
40000,120000.0,22.91,26.45,E,debt_consolidation
40000,135500.0,11.99,5.69,B,home_improvement
40000,218000.0,18.99,3.26,D,home_improvement
40000,155000.0,7.21,6.02,A,house
40000,99500.0,30.89,29.06,G,debt_consolidation
40000,100000.0,16.02,35.35,C,small_business
40000,96478.0,13.58,14.57,C,major_purchase
40000,105000.0,10.9,10.94,B,debt_consolidation
40000,100000.0,9.44,11.62,B,debt_consolidation
40000,60000.0,16.02,45.7,C,debt_consolidation
40000,500000.0,14.07,10.96,C,debt_consolidation
40000,65000.0,10.42,8.07,B,small_business
40000,80000.0,24.74,10.25,E,home_improvement
40000,80000.0,10.49,7.59,B,debt_consolidation
40000,87900.0,20.0,15.58,D,debt_consolidation
40000,122000.0,17.27,13.85,D,debt_consolidation
40000,211713.0,9.93,17.53,B,credit_card
40000,117000.0,12.62,14.31,C,other
40000,85580.0,11.99,10.52,B,major_purchase
40000,130000.0,7.89,6.32,A,debt_consolidation
40000,55000.0,19.03,22.52,D,debt_consolidation
40000,40000.0,18.99,26.25,D,debt_consolidation
40000,295000.0,15.05,20.18,C,debt_consolidation
40000,120000.0,9.93,28.44,B,debt_consolidation
40000,200000.0,13.67,19.03,C,major_purchase
40000,100000.0,13.99,15.56,C,credit_card
40000,200000.0,11.98,7.63,B,debt_consolidation
40000,130000.0,30.79,24.4,G,other
40000,139000.0,15.99,0.35,C,debt_consolidation
40000,180000.0,16.99,27.95,D,debt_consolidation
40000,185000.0,14.07,9.34,C,debt_consolidation
40000,100000.0,10.42,13.12,B,debt_consolidation
40000,100000.0,15.05,0.3,C,small_business
40000,125000.0,17.09,11.47,D,debt_consolidation
40000,120000.0,9.75,16.99,B,credit_card
40000,84000.0,11.44,25.33,B,debt_consolidation
40000,105000.0,13.99,26.92,C,credit_card
40000,90000.0,16.01,20.59,C,debt_consolidation
40000,98800.0,11.55,10.96,B,debt_consolidation
40000,100000.0,13.59,13.3,C,house
40000,120000.0,8.59,11.18,A,debt_consolidation
40000,126000.0,26.24,20.22,E,home_improvement
40000,43678.0,17.09,87.08,D,debt_consolidation
40000,165000.0,30.89,19.14,G,credit_card
40000,154000.0,10.41,5.91,B,other
40000,70000.0,17.99,21.64,D,debt_consolidation
40000,109000.0,10.42,4.55,B,debt_consolidation
40000,211200.0,14.99,13.81,C,debt_consolidation
40000,100000.0,14.07,32.27,C,debt_consolidation
40000,132000.0,13.49,16.48,C,home_improvement
40000,148000.0,9.93,11.77,B,debt_consolidation
40000,90000.0,10.9,7.45,B,debt_consolidation
40000,230000.0,14.08,4.47,C,home_improvement
40000,130000.0,9.75,8.54,B,major_purchase
40000,325100.0,11.47,17.22,B,debt_consolidation
40000,225000.0,9.49,15.52,B,debt_consolidation
40000,200000.0,16.14,16.75,C,debt_consolidation
40000,128000.0,10.41,7.62,B,debt_consolidation
40000,120000.0,13.06,1.68,C,debt_consolidation
40000,189900.0,12.13,20.38,B,major_purchase
40000,110000.0,16.01,16.6,C,major_purchase
40000,100000.0,17.09,13.56,D,debt_consolidation
40000,200000.0,12.74,12.88,C,small_business
40000,47000.0,12.62,107.84,C,debt_consolidation
40000,120000.0,11.99,7.17,C,debt_consolidation
40000,95000.0,13.59,24.68,C,debt_consolidation
40000,170000.0,13.59,12.05,C,major_purchase
40000,96499.53,12.62,4.96,C,home_improvement
40000,85000.0,15.05,13.78,C,debt_consolidation
40000,65960.0,16.02,2.78,C,debt_consolidation
40000,365000.0,14.08,17.77,C,debt_consolidation
40000,380000.0,13.49,7.26,C,debt_consolidation
40000,460000.0,5.31,0.94,A,debt_consolidation
40000,168000.0,11.99,12.61,B,home_improvement
40000,37000.0,9.44,3.05,B,home_improvement
40000,84000.0,9.93,17.25,B,home_improvement
40000,105000.0,7.39,9.31,A,home_improvement
40000,42869.0,18.99,18.11,D,debt_consolidation
40000,120000.0,11.39,9.03,B,debt_consolidation
40000,131000.0,15.05,25.93,C,debt_consolidation
40000,170000.0,6.99,21.77,A,debt_consolidation
40000,285000.0,9.58,13.4,B,debt_consolidation
40000,130000.0,13.06,26.8,C,debt_consolidation
40000,160000.0,9.75,16.6,B,credit_card
40000,125000.0,15.99,29.83,C,credit_card
40000,97000.0,16.02,27.29,C,home_improvement
40000,103500.0,9.93,9.19,B,debt_consolidation
40000,120000.0,16.01,6.41,C,debt_consolidation
40000,110000.0,21.45,20.52,D,debt_consolidation
